"servicetag_id";"oemname_id";"version";"lastused";"status_id"
"138";"13";;"2022-04-01 10:13:00";"1"
"138";"9";"12.12.0";"2022-04-01 11:13:00";"1"
"138";"7";"125.040.200";"2022-04-01 10:58:00";"1"
"138";"6";"31.6.5";"2022-04-01 10:46:00";"2"
"138";"8";;"2022-03-02 10:31:00";"2"
"139";"8";"22.2.05000";"2022-02-24 08:55:00";"2"
"139";"12";;"2022-04-18 13:57:00";"1"
"139";"1";"21.3.0.0";"2022-02-09 11:01:00";"1"
"139";"5";"6.15.3.1";"2022-02-02 14:39:00";"2"
"139";"15";"2.3.70";"2022-04-28 11:31:00";"2"
"139";"18";"8.0.3110.11";"2022-04-26 15:59:00";"2"
"139";"7";"125.050.200";"2022-04-26 09:17:00";"1"
"139";"11";;"2022-04-18 14:00:00";"1"
"139";"10";;"2022-04-18 14:11:00";"2"
"139";"17";"4.07";"2022-03-16 13:27:00";"1"
"139";"4";"8.3.0.22080";"2022-04-14 14:36:00";"2"
"139";"2";"43.0.18.2099";"2022-03-29 10:56:00";"1"
"139";"6";"30.5.7";"2022-03-25 07:46:00";"2"
"139";"13";;"2022-05-03 13:11:00";"2"
"140";"15";;"2022-04-01 11:44:00";"2"
"140";"18";"2.8.281.9";"2022-05-02 12:19:00";"2"
